,c,theta,A1,n_star,w,N_real,N_predict,Error_predict
0,144.57094895484786,0.3044999807094956,36.71051229900398,0.922294834641663,0.09313482873568055,63.0,491.0,679.3650793650794
1,59.83547869903829,0.3304280691589665,27.971043377143314,0.9222948445493747,0.09445394115974107,63.0,389.0,517.4603174603175
2,18.770476149977025,0.47882090378893377,12.500091072249194,0.5954270714850896,2.233226294606977,116.0,78.0,32.758620689655174
3,45.82793290749091,0.33835292323673105,20.83808579522566,0.9222948355384581,0.10814092002159889,53.0,292.0,450.9433962264151
4,1093.4833905605262,0.45559030719198,73.11934767756154,0.9222947873957746,0.06057489924517001,70.0,954.0,1262.857142857143
5,22.6213889436045,0.4832310409212102,14.928358662859068,0.2909856437017696,1.662306153735284,87.0,73.0,16.091954022988507
6,31.109882216235526,0.6310076963434482,41.01062836207738,0.2686996715291395,3.3702424859405733,341.0,208.0,39.002932551319645
7,38.76253337735774,0.4481714095477216,16.542249948109568,0.5554017254104836,2.9832948138397604,142.0,68.0,52.11267605633803
8,17.968285726617573,0.6800446826762256,9.331188721987525,0.29247481337650044,5.61095326330374,152.0,91.0,40.13157894736842
9,28.21677735671111,0.3611947077580089,19.16478675220238,0.9222948471071412,0.15812860336018272,74.0,282.0,281.0810810810811
